Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
D0008			 			 	 																																																							
D0008	1	1	voilà	$L2	B	voilà	voilà	V	indicative	present	1/2/3	sg/pl		0	root	0	root									O	U	U	O	O	O	O	O	O	O	O	O	O	O	B	mlm2	U	lone	mlm2	U	strong	mlm2	U	strong	mlm2	U	ml	0	S		0.368846	1.494891	1.941977	197.46300000000016	249.62299999999993		
D0008			 			 	 																																																							
D0008	2	1	en	$L2	B	en fait	en fait	Adv						0	root	0	root									O	B	O	B	O	O	O	O	O	O	O	O	O	O	B	lH	B	lone	lH	B	strong	lH	B	strong	lH	U	lm	_	0			2.310823	2.43936	128.53700000000012	290.60599999999994		
D0008	2	2	 		I																																																									
D0008	2	3	fait	$L2	I																					O	I	O	L	O	O	O	O	O	O	O	O	O	O	L	lH	L	lone	lH	L	strong	lH	L	strong	lH	U	hH	S	S		0.514148	2.43936	2.729966	290.60599999999994	128.53700000000012		
D0008	2	4	 			 	 																																																							
D0008	2	5	je	$L2	B	je	je	Cl			1	sg		7	para_disfl					7	para_disfl	9	sub_inherited			U	I	B	O	O	O	O	O	O	O	O	O	O	O	B	mm	B	included	mH	B	weak	mm	B	weak	mm	U	ml	_	0	H		3.244114	3.59162	347.50599999999963	212.60450000000031		
D0008	2	6	 			 	 																																																							
D0008	2	7	j	$L2	B	j'	je	Cl			1	sg		9	sub	9	sub									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	I	included	mH	I	weak	mm	I	weak	mm	B	lm	0	0			3.59162	3.799948	292.12300000000016	199.6306666666666		
D0008	2	8	'	$L2	I																					L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	I	included	mH	I	weak	mm	I	weak	mm	L	lm	0	0			3.59162	3.799948	292.12300000000016	199.6306666666666		
D0008	2	9	aurais	$L2	B	aurais	avoir	V	indicative	conditional	1	sg		0	root	0	root									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	I	included	mH	L	weak	mm	L	weak	mm	U	ml	W	W			3.799948	4.016829	133.08600000000047	212.8954999999998		
D0008	2	10	 			 	 																																																							
