Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
M0007			 			 	 																																																							
M0007	1	1	bon	$L1	B	bon	bon	I						0	root	0	root									O	B	B	O	O	O	O	O	O	O	O	O	U	O	B	mm	U	lone	mm	U	strong	mm	U	strong	mm	U	mm	0	S			0.16	0.35	189.99999999999997	130.0	87.52456028085956	86.97805064634225
M0007	1	2	 			 	 																																																							
M0007	1	3	vous	$L1	B	vous	vous	Cl			2	pl		5	sub	5	sub									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	B	included	mh	B	weak	mhl1	B	weak	mhl1	U	mm	0	0			0.35	0.41	60.0	180.00000000000003	87.06021067969519	87.87187388836892
M0007	1	4	 			 	 																																																							
M0007	1	5	prenez	$L1	B	prenez	prendre	V	indicative	present	2	pl		0	root	0	root									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	I	included	mh	L	weak	mhl1	L	weak	mhl1	U	mh	0	W			0.41	0.76	150.00000000000003	156.2745	89.19517077125788	88.02738186061619
M0007	1	6	 			 	 																																																							
M0007	1	7	la	$L1	B	la	le	D				sg	fem	9	dep	9	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	I	included	mh	B	weak	hm	B	weak	hm	U	hm	0	0			0.76	0.907618	147.61800000000002	223.09550000000002	89.44732115085054	88.21059007321685
M0007	1	8	 			 	 																																																							
M0007	1	9	route	$L1	B	route	route	N				sg	fem	5	obj	5	obj									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mm	I	included	mh	L	weak	hm	L	weak	hm	U	mm	W	W			0.907618	1.125098	217.4799999999999	200.63	88.70610499892972	88.52656699138215
M0007	1	10	 			 	 																																																							
M0007	1	11	là	$L1	B	là	là	Adv						5	ad	5	ad									O	L	L	O	O	O	O	O	O	O	O	O	O	O	I	mm	L	included	mh	U	strong	mm	U	strong	mm	U	mm	S	S			1.125098	1.45	324.90200000000004	198.77449999999996	88.04519390969051	88.25499763082006
M0007			 			 	 																																																							
